graph file,number of bags,largest bag size,number of vertice,total number of bag size,smallest bag size,density of edges
ex186.gr.xz,256.0,14.0,316.0,1380.0,4.0,0.005656017681334137
dart-first-state_20151202_1815_subgraph_metro+bus.gr.bz2,2265.0,15.0,2367.0,9873.0,3.0,0.0005194344182352372
u2319.tsp-pp.dgf.bz2,1452.0,72.0,2314.0,17867.0,6.0,0.0012815094570876498
triangle-transit_20150227_1741.gr.bz2,411.0,5.0,435.0,1702.0,3.0,0.0028709147730282326
celar09-pp.dgf.bz2,73.0,17.0,133.0,698.0,5.0,0.0367965367965368
miami-dade-transit_20151219_0136_subgraph_bus.gr.bz2,5684.0,27.0,5903.0,25290.0,3.0,0.00022101346672366709
smtd_20151216_1406_subgraph_metro+bus.gr.bz2,821.0,12.0,859.0,3618.0,3.0,0.0015033472542203626
rvtd_20151202_1951_subgraph_bus.gr.bz2,255.0,4.0,285.0,1018.0,3.0,0.004002965159377317
d15112.tsp.dgf.bz2,10698.0,136.0,15112.0,116482.0,5.0,0.00019841701495399545
citybus_20151001_1343_subgraph_train+metro+tram+bus.gr.bz2,818.0,11.0,831.0,3526.0,4.0,0.001348353703623157
le450_15a-pp.dgf.bz2,147.0,291.0,446.0,10217.0,5.0,0.04113468030432811
stib_20150902_2008_subgraph_metro+bus.gr.bz2,729.0,10.0,781.0,3117.0,3.0,0.0016842312616960505
ex100.gr.xz,119.0,16.0,170.0,796.0,4.0,0.014444831186912635
ex102.gr.xz,58.0,61.0,291.0,1782.0,9.0,0.061760872141248965
tursib_20110626_1306_subgraph_train+metro+tram+bus.gr.bz2,193.0,11.0,212.0,932.0,3.0,0.006438343914870786
mta-new-york-city-transit_20150723_2021_subgraph_train+metro+tram+bus.gr.bz2,1426.0,14.0,1500.0,6073.0,3.0,0.0008645763842561708
island-transit_20150223_1552_subgraph_metro+bus.gr.bz2,298.0,4.0,322.0,1222.0,3.0,0.003889243629186742
guelph-transit_20151216_1513_subgraph_train+metro+tram+bus.gr.bz2,494.0,10.0,511.0,2108.0,3.0,0.002352173746210813
RandomTriangulation_800.gr.bz2,581.0,52.0,800.0,5857.0,5.0,0.0037453066332916144
he139.gr.xz,4373.0,412.0,7865.0,106460.0,8.0,0.001129661977715247
mta-new-york-city-transit_20150723_2021_subgraph_tram+bus.gr.bz2,1425.0,15.0,1500.0,6076.0,3.0,0.0008645763842561708
tbc_20120105_0426_subgraph_train+metro+tram+bus.gr.bz2,1357.0,59.0,1446.0,7251.0,3.0,0.0009739311882917677
he101.gr.xz,10100.0,101.0,10200.0,50200.0,4.0,0.00028837890681324005
transilien-archiver_20151219_0118_subgraph_train.gr.bz2,417.0,7.0,466.0,1675.0,3.0,0.0029212238681988094
emerald-coast-rider_20151216_1644.gr.bz2,186.0,4.0,194.0,755.0,3.0,0.006222958175311148
victor-valley-transit-authority_20151202_1753.gr.bz2,679.0,7.0,701.0,2842.0,3.0,0.0016629305074383535
space-coast-area-transit_20151216_1729.gml.lp.gr.bz2,83.0,8.0,102.0,454.0,4.0,0.017472335468841003
indygo_20120905_1753.gml.lp.gr.bz2,328.0,14.0,381.0,1882.0,3.0,0.0044274071004282356
action_20150129_0101.gml.lp.gr.bz2,498.0,19.0,574.0,3547.0,4.0,0.003238046591385884
vilniaus-vieasis-transportas_20130407_1539_subgraph_train+metro+tram+bus.gr.bz2,463.0,5.0,512.0,1741.0,3.0,0.0024882277397260274
Promedas_58_11.gr.xz,287.0,30.0,359.0,2061.0,5.0,0.0050886229594933165
utah-transit-authority_20151217_1021_subgraph_bus.gr.bz2,5858.0,28.0,5980.0,25455.0,3.0,0.00018892769061839068
GTFS_VBB_EndeApr_Dez2016.zip_train+metro+tram_10.gr.xz,158.0,16.0,187.0,1066.0,4.0,0.011068943706514863
cit-roussillon_20150821_1709_subgraph_bus.gr.bz2,175.0,6.0,189.0,764.0,4.0,0.0071203422267252054
Promedas_48_5.gr.xz,108.0,14.0,134.0,729.0,5.0,0.015598698238132645
yolobus_20121208_0411.gr.bz2,516.0,10.0,537.0,2279.0,3.0,0.0022374162706022957
